L1 T1 L2 T2 L3 T3 L4 T4 L5
L1 T1 L2 T2 L3 T3 L4 L5 T4
L1 T1 L2 T2 L3 T3 L5 L4 T4
L1 T1 L2 T2 L3 T3 L5 T4 L4
L1 T1 L2 T2 L3 L4 T3 L5 T4
L1 T1 L2 T2 L3 L4 T4 L5 T3
L1 T1 L2 T2 L3 T4 L4 T3 L5
L1 T1 L2 T2 L3 T4 L4 L5 T3
L1 T1 L2 T2 L3 T4 L5 T3 L4
L1 T1 L2 T2 L3 T4 L5 L4 T3
L1 T1 L2 T2 L3 L5 T3 L4 T4
L1 T1 L2 T2 L3 L5 T4 L4 T3
L1 T1 L2 T2 L4 L3 T3 L5 T4
L1 T1 L2 T2 L4 L3 T4 L5 T3
L1 T1 L2 T2 L4 T3 L3 T4 L5
L1 T1 L2 T2 L4 T3 L3 L5 T4
L1 T1 L2 T2 L4 T3 L5 L3 T4
L1 T1 L2 T2 L4 T3 L5 T4 L3
L1 T1 L2 T2 L4 T4 L3 T3 L5
L1 T1 L2 T2 L4 T4 L3 L5 T3
L1 T1 L2 T2 L4 T4 L5 L3 T3
L1 T1 L2 T2 L4 T4 L5 T3 L3
L1 T1 L2 T2 L4 L5 T3 L3 T4
L1 T1 L2 T2 L4 L5 T4 L3 T3
L1 T1 L2 T2 L5 L3 T3 L4 T4
L1 T1 L2 T2 L5 L3 T4 L4 T3
L1 T1 L2 T2 L5 T3 L3 L4 T4
L1 T1 L2 T2 L5 T3 L3 T4 L4
L1 T1 L2 T2 L5 T3 L4 L3 T4
L1 T1 L2 T2 L5 T3 L4 T4 L3
L1 T1 L2 T2 L5 L4 T3 L3 T4
L1 T1 L2 T2 L5 L4 T4 L3 T3
L1 T1 L2 T2 L5 T4 L3 T3 L4
L1 T1 L2 T2 L5 T4 L3 L4 T3
L1 T1 L2 T2 L5 T4 L4 L3 T3
L1 T1 L2 T2 L5 T4 L4 T3 L3
L1 T1 L2 L3 T2 L4 T3 L5 T4
L1 T1 L2 L3 T2 L4 T4 L5 T3
L1 T1 L2 L3 T2 L5 T3 L4 T4
L1 T1 L2 L3 T2 L5 T4 L4 T3
L1 T1 L2 L3 T3 L4 T2 L5 T4
L1 T1 L2 L3 T3 L4 T4 L5 T2
L1 T1 L2 L3 T3 L5 T2 L4 T4
L1 T1 L2 L3 T3 L5 T4 L4 T2
L1 T1 L2 L3 T4 L4 T2 L5 T3
L1 T1 L2 L3 T4 L4 T3 L5 T2
L1 T1 L2 L3 T4 L5 T2 L4 T3
L1 T1 L2 L3 T4 L5 T3 L4 T2
L1 T1 L2 T3 L3 T2 L4 T4 L5
L1 T1 L2 T3 L3 T2 L4 L5 T4
L1 T1 L2 T3 L3 T2 L5 L4 T4
L1 T1 L2 T3 L3 T2 L5 T4 L4
L1 T1 L2 T3 L3 L4 T2 L5 T4
L1 T1 L2 T3 L3 L4 T4 L5 T2
L1 T1 L2 T3 L3 T4 L4 T2 L5
L1 T1 L2 T3 L3 T4 L4 L5 T2
L1 T1 L2 T3 L3 T4 L5 T2 L4
L1 T1 L2 T3 L3 T4 L5 L4 T2
L1 T1 L2 T3 L3 L5 T2 L4 T4
L1 T1 L2 T3 L3 L5 T4 L4 T2
L1 T1 L2 T3 L4 T2 L3 T4 L5
L1 T1 L2 T3 L4 T2 L3 L5 T4
L1 T1 L2 T3 L4 T2 L5 L3 T4
L1 T1 L2 T3 L4 T2 L5 T4 L3
L1 T1 L2 T3 L4 L3 T2 L5 T4
L1 T1 L2 T3 L4 L3 T4 L5 T2
